"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",43527.4519623892,-2.63388105959116,0.0757221324582945,-34.7835035026493,4.3199000922751e-265,2.9240053596918e-264
"EEF1A1",2387.04967726092,1.19247081842,0.0278239280720145,42.857745151354,0,0
"MT-ND4",38052.5790962867,-3.47213621821258,0.0591437971973104,-58.7066840945152,0,0
"MT-CO3",23561.0277605925,-3.11130699071357,0.0608594484832625,-51.122825925201,0,0
"GFAP",4715.36526860558,-3.68971452279016,0.0941579673430748,-39.1864292200179,0,0
"MT-CYB",19568.9075243325,-3.5519060876868,0.0616183526576014,-57.6436391836682,0,0
"MT-ND2",20910.1281009096,-3.69351928782268,0.0600718674220287,-61.4850086459647,0,0
"MT-ND1",18838.3354914084,-3.28210637997831,0.0631127199666849,-52.0038810197187,0,0
"MT-CO2",23425.4078227638,-3.9494853172947,0.0568436030054591,-69.4798554010625,0,0
"MT-ND5",9009.35222355472,-2.08631500868037,0.0649829842220646,-32.1055586113261,3.68767360950907e-226,2.16811076223693e-225
"MT-ATP6",19279.820700779,-3.73287586502836,0.0579878404449159,-64.3734244349781,0,0
"ACTB",1720.90074867726,0.659731679152371,0.0313514189409344,21.0431202618068,2.64394792396226e-98,8.35083799109201e-98
"FN1",122.319307016844,2.65293735954445,0.0665053505184238,39.8905853268079,0,0
"ACTG1",1091.57910360779,1.13310890616164,0.0291083560175225,38.9272724807796,0,0
"CLU",2670.68377241135,-3.10878631437732,0.0544107438638087,-57.1355231268052,0,0
"VIM",158.584199319105,1.49374384152262,0.0692595330251333,21.5673391990754,3.64040396835378e-103,1.18428983411792e-102
"COL1A1",30.8565806065205,5.76356013658903,0.0900449494712618,64.0075892144122,0,0
"TPT1",641.099667007681,-0.388712408799226,0.0270503827705148,-14.3699411611627,7.98990982174576e-47,1.73759385306498e-46
"SPARC",586.285537074583,-0.262968812318366,0.0725229948821434,-3.62600596880637,0.000287838703419567,0.000346648349494713
"EEF2",1176.17970814535,1.07210864485028,0.0298232732138745,35.9487249156644,5.29897021149595e-283,3.82537083692425e-282
"IGF2",18.6576585215015,3.5510581905036,0.0748046511038787,47.4710882024216,0,0
"RPL13A",672.630477755977,0.13248928518603,0.0226106751283396,5.85958996951718,4.64011440905141e-09,6.37911723898281e-09
"RPL3",903.680080970684,-0.154101712990927,0.0246869824780541,-6.24222555866917,4.31388250136331e-10,6.06030402708014e-10
"RPLP0",332.057486662583,0.799623524709116,0.0286845181096391,27.8764845082202,5.14486470252151e-171,2.36948114052853e-170
"COL1A2",36.1802464446552,4.23723660040258,0.069673539452621,60.8155783916211,0,0
"FTH1",416.072304312781,0.436609889248669,0.0550619854538747,7.92942509518507,2.20162705456168e-15,3.38983948687365e-15
"RPS3A",268.047668502597,1.34577023188468,0.0281460009418142,47.813905594147,0,0
"FTL",1198.14403175758,-1.76575038306328,0.040404138596024,-43.7022157734368,0,0
"CD74",131.177503150577,-0.227739459251113,0.0634725212574656,-3.5880008346813,0.000333223223613667,0.000400466827417407
"RPL4",772.742992394717,-0.0858551392573851,0.0255706083722944,-3.35757123989309,0.000786304782021395,0.000932120914673337
"RPL10",437.838224898216,0.554309199940327,0.027064065112759,20.4813725370106,3.15638111972437e-93,9.67956876715474e-93
"HNRNPA1",485.716412274781,0.845343030684652,0.0232846402255233,36.3047495042692,1.36150581093724e-288,9.93484570163594e-288
