"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",3717634.40357228,-3.51030801705136,0.198011500979289,-17.7277986363959,2.55857881395717e-70,1.29611324825306e-69
"EEF1A1",138320.141549652,2.70560703473945,0.0929263300022977,29.1156127081803,2.2776256775233e-186,6.68666627935803e-185
"MT-ND4",2885784.02317821,-4.13845307932232,0.168827804754249,-24.512864367018,1.07715765643783e-132,1.51342628375151e-131
"MT-CO3",1767885.9349121,-3.61295804846382,0.16555586892081,-21.8231952271773,1.39745989069387e-105,1.24739051985031e-104
"GFAP",467989.754518311,-2.84353305925662,0.238275593543179,-11.9337990810265,7.88892058809218e-33,2.02090871302634e-32
"MT-CYB",1509652.96699197,-4.08525984758146,0.173450722563786,-23.5528557459835,1.17355947584792e-122,1.37182171316276e-121
"MT-ND2",1569967.10322817,-3.62578291376312,0.16762588422978,-21.6302090242396,9.33592757044639e-104,8.11257476011764e-103
"MT-ND1",1435453.81617097,-3.91085215368509,0.171278162065942,-22.8333379253534,2.13978067007e-115,2.26382878449157e-114
"MT-CO2",1753986.31876204,-4.16444680891885,0.165225559326418,-25.2046161979795,3.56508423713423e-140,5.53021648081944e-139
"MT-ND5",756148.65221305,-3.49688773998757,0.193077818274698,-18.1112867922116,2.59608557849843e-73,1.38157006748185e-72
"ACTB",101416.70353127,0.12825150327326,0.0798791240773586,1.60556972493909,0.108368481897316,0.119680758485596
"FN1",8326.88173145719,2.74519935158359,0.164070895905465,16.7317874168575,7.68955869245183e-63,3.4239117234544e-62
"ACTG1",63426.1352480987,1.14479876972842,0.086921128400346,13.1705465724702,1.29655617836629e-39,3.80060479353082e-39
"CLU",176543.263875006,-2.61702547141138,0.139335734031788,-18.7821558453507,1.05699992917445e-78,6.13722922963761e-78
"GAPDH",66535.353834456,0.309233435272491,0.071939687152396,4.29850959203389,1.71950460902507e-05,2.27739626248976e-05
"VIM",12597.1079422193,1.01815087662502,0.203359417244059,5.00665713161,5.5383452416718e-07,7.7795723236846e-07
"COL1A1",2322.43728759304,6.40468131405112,0.221570204829424,28.9058780217393,1.00717596312975e-183,2.84762878836612e-182
"TPT1",40632.7727750354,0.796747153119531,0.116042171899528,6.86601379547921,6.60206921650041e-12,1.07986823220587e-11
"SPARC",48880.2160803095,-0.283334981182395,0.199922313653542,-1.41722540122962,0.156417037485058,0.170627309064999
"EEF2",67104.3473394809,1.02346956638723,0.0632793259433844,16.1738379973092,7.71394310886717e-59,3.19093163771842e-58
"IGF2",1994.68981897279,6.46379868752752,0.205985374903776,31.3798913663022,3.80614700795527e-216,1.65495308728479e-214
"RPL13A",39792.2992782816,1.52128306652493,0.0851272401496924,17.8706964286617,1.99488304239611e-71,1.02733344296388e-70
"RPL3",52378.0003032099,0.943679801250968,0.0689535586529635,13.6857302173542,1.23559602647913e-42,3.79743153626612e-42
"RPLP0",19239.2412774495,2.46854499774218,0.0856844992804629,28.8097032540521,1.62138596418183e-182,4.47401189491425e-181
"COL1A2",2360.09190243407,5.36734437501014,0.172305007299056,31.1502518652546,5.03235247263474e-213,2.06308478690622e-211
"FTH1",27947.8464538608,0.448520020125498,0.143151871409826,3.13317608570719,0.0017292566672892,0.00210700958325154
"RPS3A",15359.3240936548,3.15503973655672,0.0853725648386235,36.9561315455448,5.80581273578782e-299,5.8977809198326e-297
"FTL",87715.8814723215,-1.12528426165455,0.157685643889543,-7.13625054188697,9.59111246978951e-13,1.60256739506134e-12
"CD74",12630.9818182642,-0.39706767580789,0.226516184483804,-1.75293291608609,0.0796135227338521,0.0888041616423951
"RPL4",45249.8438098987,1.28507958514688,0.0779622131210908,16.483364616021,4.83192951952748e-61,2.08989144516413e-60
"RPL10",25679.9578667951,2.02929901090111,0.0876080755112494,23.1633784791967,1.06584790415218e-118,1.17080077433138e-117
"HNRNPA1",27682.9076520681,2.25574271588452,0.0736260479451318,30.6378350983277,3.83807083989611e-206,1.46369485618497e-204
"GNAS",81173.3727239286,-0.268901013945179,0.107693967277983,-2.49689950831769,0.0125284455176942,0.0146689133106499
"TUBA1A",48475.6555589238,1.54621050107783,0.126944273076592,12.1802304554922,3.96160869580115e-34,1.03896061729727e-33
"EEF1G",27071.0181133559,1.96385627568613,0.0742175730215165,26.46079891506,2.74089868144369e-154,5.21770745676487e-153
"LRP1",23371.3468957653,-0.220983803022561,0.0981833382710801,-2.25072611009043,0.0244028899828456,0.0280766537148526
"RPS4X",24625.1149424718,1.83731568157296,0.087037446769315,21.109485052366,6.50778490290027e-99,5.2386299369139e-98
"B2M",26032.3627696149,-0.811834449655858,0.15368683331873,-5.2823942827438,1.27506414834091e-07,1.83184747919966e-07
"TMSB4X",55849.7123386545,-0.0759641011802714,0.149396518970459,-0.508473033399741,0.611121646027626,0.6292667182231
"MAP1B",45194.3208990337,1.1006342120003,0.107983904235629,10.1925765676951,2.1401551054444e-24,4.66252428456943e-24
"RPS6",35382.3283076417,1.50858862473913,0.108900741521094,13.8528774337769,1.22216429097841e-43,3.83626576323247e-43
"HBA2",3016.2207248002,0.264958312661772,0.252567349996518,1.04906003355313,0.294150489021068,0.313485606115759
"HSP90AB1",54270.0040359699,0.340006755014565,0.0823880053222001,4.12689630832642,3.67692084108493e-05,4.81324829910068e-05
"HSP90AA1",82314.5271088842,-0.916682457276816,0.113355286040927,-8.08680820536103,6.12486002338127e-16,1.10320521274743e-15
"TUBA1B",12024.843801192,2.69237492773989,0.140075400987671,19.22089752202,2.47452558681703e-82,1.53127111649987e-81
"RPS11",28086.7637802147,2.21161715726983,0.0920350806925125,24.0301539437859,1.3462627200415e-127,1.70383128592684e-126
"RPS2",15181.9416232523,1.81124949887088,0.106537197970183,17.001099459907,8.05940650607234e-65,3.72589316484915e-64
"RPS18",24331.3621530799,1.8307520770527,0.105167608862154,17.407946199978,7.18143769764487e-68,3.50045534315352e-67
"COL3A1",1922.4697151704,7.95388331206142,0.200069118232472,39.7556773495614,0,0
"AHNAK",15765.8010902459,0.820796928496564,0.123133623165872,6.66590414050336,2.63040912494725e-11,4.22714074552282e-11
"PABPC1",10911.8959557072,2.00601791071257,0.0832455142943475,24.0976096756337,2.64819198043269e-128,3.38891814307546e-127
"HBB",11948.2647784123,-1.34838266798476,0.251894493914452,-5.35296602569923,8.6524099481915e-08,1.25073685675973e-07
"RPL7A",23106.5696838038,1.55239274969971,0.0716390777871213,21.6696361490403,3.96879493110189e-104,3.4723930651005e-103
"RPL15",33051.4872816269,0.752591215442414,0.0583896037650871,12.8891303744796,5.18248947852267e-38,1.47434440455915e-37
"RACK1",16678.956602045,2.18473595707661,0.0660130321983646,33.0955249943924,3.44675998885255e-240,1.94903240946002e-238
"PTMA",23610.7127648695,1.2515594915704,0.104315978011736,11.9977736433587,3.64982457124643e-33,9.3916916057695e-33
"TUBB",15860.1298863323,2.67136233128464,0.0791080624070986,33.7685218168727,5.71757605171515e-250,3.58645112008952e-248
"RPL7",19711.1304375635,1.93621762982006,0.0783679255333071,24.7067613011799,9.04724880467592e-135,1.29816711286094e-133
"RPS3",19822.932100493,1.95941735551835,0.0905932177519175,21.628742240772,9.63751621499246e-104,8.36830927624042e-103
"RPS8",22378.4525561985,1.57720289575523,0.0868551551754122,18.1590015304206,1.08988894272329e-73,5.81628785379853e-73
"MT-ND3",323198.192795593,-3.88998143532762,0.167660040762107,-23.2016013931854,4.38684682537573e-119,4.84664241660135e-118
"RPLP1",22831.8785229014,0.498179598498423,0.113166641337063,4.40217711343586,1.07170012455781e-05,1.43146913309275e-05
"HSPA8",44201.8797191088,0.0130119999863198,0.0958681604943356,0.135728065702154,0.89203625980619,0.899717443661827
"APP",56946.4148651213,-0.245662068329073,0.0970001996671814,-2.53259342941527,0.0113222192093997,0.0132904953783311
"RPL6",18797.7441127419,1.84620967776133,0.0736453665486879,25.0689183078581,1.08589574640112e-138,1.64663107964841e-137
"RPSA",22477.5468614742,1.17545975363895,0.101110692541703,11.6254742608367,3.05889858289627e-31,7.60023740975461e-31
"RPL19",24596.869544658,0.980501773261166,0.0970127833051854,10.1069337447693,5.14699766104535e-24,1.11350143518921e-23
"MBP",831554.165637354,-5.62463861693101,0.414922089250034,-13.5558910037725,7.31188561253105e-42,2.22221696971787e-41
"RPS24",21644.0836903098,1.4593681772262,0.0906937326459231,16.0911689777254,2.94229056597679e-58,1.20623405024456e-57
"RPL18A",9946.23793777714,2.64910578657268,0.0852847348950801,31.0618985898436,7.88104610201548e-212,3.16316532185439e-210
"EIF4G2",26171.4003237352,0.773694437312676,0.0514534802744474,15.0367756114042,4.21590477193858e-51,1.52087903447778e-50
"PKM",45173.5070388952,-0.802716977198013,0.0760540827619914,-10.5545547069457,4.83928670333983e-26,1.08581258928143e-25
"RPL37A",26074.3977282844,1.22613721567737,0.0991725640870837,12.3636736325653,4.10938426789446e-35,1.10162592272677e-34
"SRRM2",31983.0464122862,-0.0852437861490374,0.110953720778895,-0.768282357280367,0.442319453906838,0.463168303175172
"PTPRZ1",13132.0010384939,-2.9555308558047,0.15064216002362,-19.6195464492894,1.05288344584533e-85,6.85927870309792e-85
"HBA1",463.822980767166,2.89782546180575,0.255583601781519,11.3380727151772,8.49956918025861e-30,2.05403272884608e-29
"RPS23",14088.9148931219,2.06779080332453,0.0792982043302667,26.0761365378773,6.80078701107941e-150,1.21220860404007e-148
"RPL9",18739.5208792566,1.74064305379656,0.0898145539291223,19.3804119449304,1.12939265432383e-83,7.1468016973447e-83
"GLUL",100535.549602257,-1.71536048139303,0.150575283203028,-11.3920455263572,4.58107234127799e-30,1.1108181116504e-29
"RPS27",18645.7815143878,1.60012300287994,0.125205568292418,12.779966775462,2.1216014118985e-37,5.97347623428572e-37
"FLNA",9969.1283192125,1.6992671216967,0.116143323805429,14.630777439635,1.7873306692469e-48,6.16489445681647e-48
"ENO1",39056.4945260505,-0.528291929209554,0.0985899317274654,-5.35847748297386,8.39261939518475e-08,1.21379460800461e-07
"RPL5",19725.5290961682,1.46383837766041,0.0772141803598559,18.9581547176724,3.78181305169923e-80,2.25046303890386e-79
"RPL23A",9394.9106193056,3.060544304322,0.0985996425634556,31.0401156104834,1.55109181185515e-211,6.18228573204351e-210
"H3-3B",23021.9296388946,0.441362399831986,0.0911580384915418,4.84172769769436,1.28715070730678e-06,1.78229227613686e-06
"RPL21",18797.8872589232,1.51099984758387,0.0981084372966286,15.40132417985,1.60351731204033e-53,6.03303022776498e-53
"RPL27A",16426.5379499683,1.28463929621546,0.0879742940839805,14.6024393783614,2.7097344058863e-48,9.31567572481844e-48
"RPL32",22444.8852784852,1.02038102400585,0.0973549800215677,10.4810357290382,1.05581055315798e-25,2.35607491051719e-25
"RPL28",17101.4899300558,0.48151314771918,0.101505166130035,4.74373045311142,2.09817997352682e-06,2.8844320857622e-06
"DYNC1H1",28180.0746041816,0.522439688854094,0.0616277939029102,8.47733880718102,2.30403254464407e-17,4.29699262062863e-17
"MT-ND4L",274792.501057371,-3.97455549377845,0.178735939639973,-22.2370246397249,1.50618582626232e-109,1.45289975627438e-108
"RPS20",17352.28244709,1.05242657461289,0.109428863444535,9.61744956024631,6.74836282044645e-22,1.38899868775156e-21
