"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",3717634.40357228,-3.93133744759574,0.164262869232617,-23.9332081922206,1.38222975534514e-126,7.94124892973319e-126
"EEF1A1",138320.141549652,1.00603496031014,0.0770886839104806,13.0503584868357,6.32490846672523e-39,1.32876325566506e-38
"MT-ND4",2885784.02317821,-4.6294746626517,0.14005335182766,-33.0550793839509,1.31497934675107e-239,2.39978504314078e-238
"MT-CO3",1767885.9349121,-4.04178519697736,0.137339081882928,-29.4292428751104,2.32116233404289e-190,2.55952184750032e-189
"GFAP",467989.754518311,-2.51939369410989,0.197664204187944,-12.7458267138464,3.28885781878302e-37,6.74036759539551e-37
"MT-CYB",1509652.96699197,-4.53252829464211,0.143888518425451,-31.5002777444707,8.61072312368876e-218,1.26074605531662e-216
"MT-ND2",1569967.10322817,-4.75741376826811,0.139056942751559,-34.2119830490432,1.60427488214224e-256,3.46155476919376e-255
"MT-ND1",1435453.81617097,-4.87767981368187,0.14208678784863,-34.328876650222,2.91084366363071e-258,6.4010678955588e-257
"MT-CO2",1753986.31876204,-4.82662895246138,0.13706542834549,-35.2140507692083,1.21875893539164e-271,2.9893448331967e-270
"MT-ND5",756148.65221305,-3.61808548505964,0.160170162343565,-22.589010538048,5.55785265802337e-113,2.76184375157794e-112
"ACTB",101416.70353127,-0.263515246933744,0.0662653937967562,-3.97666461836742,6.98886235569272e-05,8.32038487668499e-05
"FN1",8326.88173145719,0.549633268138248,0.136115248539735,4.03799922517718,5.3909031166612e-05,6.444717441799e-05
"ACTG1",63426.1352480987,0.798027239967382,0.0721069644012841,11.067269945331,1.80825650262457e-28,3.28745270725806e-28
"CLU",176543.263875006,-2.69874981827277,0.115588081280454,-23.3479939140502,1.4443692825046e-120,7.85405731590255e-120
"GAPDH",66535.353834456,-0.620807541375992,0.0596811588649823,-10.4020691484972,2.42606947862146e-25,4.19284124436853e-25
"VIM",12597.1079422193,-0.800167363428066,0.168708038543029,-4.74291189879482,2.10667904053037e-06,2.61914531639209e-06
"COL1A1",2322.43728759304,1.77234419032051,0.183842590366434,9.64055275106755,5.38969669272424e-22,8.87382793112185e-22
"TPT1",40632.7727750354,-0.74229499691908,0.0962682106094012,-7.71069693952107,1.25132492196713e-14,1.82283740853562e-14
"SPARC",48880.2160803095,-1.06432507564496,0.165849523374358,-6.41741413535779,1.38608489590106e-10,1.88517399526638e-10
"EEF2",67104.3473394809,0.149206203604675,0.0524959701534284,2.84224109333715,0.0044797600452714,0.0050449490395046
"IGF2",1994.68981897279,0.644216343985973,0.170942863447107,3.76860625237688,0.000164161604920787,0.000193431642669443
"RPL13A",39792.2992782816,-0.515576740588429,0.0706240392906078,-7.3003009423874,2.87124788309995e-13,4.08313360382858e-13
"RPL3",52378.0003032099,-0.503690932454215,0.0572056925340346,-8.80490926937986,1.30958475233321e-18,2.04193471502757e-18
"RPLP0",19239.2412774495,0.144542664357329,0.071089282156983,2.0332553652482,0.0420267300977859,0.0456841699614095
"COL1A2",2360.09190243407,1.0920445167572,0.142980787703728,7.63770108065175,2.21134519538385e-14,3.21032395318215e-14
"FTH1",27947.8464538608,-0.422371127643963,0.118756078455192,-3.55662744289192,0.000375646288646294,0.000437504438653695
"RPS3A",15359.3240936548,1.32907385800755,0.0708267196537602,18.7651477366845,1.45592266916604e-78,4.90391323924794e-78
"FTL",87715.8814723215,-2.4702054164837,0.130814022091933,-18.883338169571,1.56382666004286e-79,5.31414038799053e-79
"CD74",12630.9818182642,-1.9593841865913,0.187924216554262,-10.4264592531934,1.87754821628707e-25,3.25367994788033e-25
"RPL4",45249.8438098987,-0.465678356092525,0.0646793685496472,-7.19979750165735,6.03020477037881e-13,8.51947329959118e-13
"RPL10",25679.9578667951,0.136631529214111,0.0726818711821781,1.87985706740601,0.0601275604131513,0.0649176322406474
"HNRNPA1",27682.9076520681,0.960809729740978,0.061080415242552,15.7302422703837,9.38512940973015e-56,2.42203013701197e-55
"GNAS",81173.3727239286,-1.16362589776938,0.0893408820392996,-13.0245624534748,8.87081178917076e-39,1.85919387489303e-38
"TUBA1A",48475.6555589238,1.71853588328825,0.105308084357376,16.3191258655526,7.21615006601512e-60,1.95779216752039e-59
"EEF1G",27071.0181133559,0.376931639487331,0.061573033425063,6.12170001249123,9.25822069367812e-10,1.23791631150531e-09
"LRP1",23371.3468957653,-0.194647991510929,0.0814496026543639,-2.38979669841889,0.0168577014653308,0.0186031104711144
"RPS4X",24625.1149424718,-0.239389831904412,0.0722106560790214,-3.3151593532462,0.000915908962700905,0.00105453550479877
"B2M",26032.3627696149,-2.28654796844351,0.127505737345248,-17.9329025975688,6.52809159030259e-72,2.03519726684094e-71
"TMSB4X",55849.7123386545,-1.05403812810843,0.123935813015301,-8.50470983700491,1.82050337795767e-17,2.78040956300905e-17
"MAP1B",45194.3208990337,0.794059301329489,0.0895798574384322,8.86426172172959,7.70126594777579e-19,1.20456236291754e-18
"RPS6",35382.3283076417,-0.763357188904672,0.0903460682058797,-8.44925743935133,2.93161394186553e-17,4.46135442644497e-17
"HBA2",3016.2207248002,0.331138121613787,0.209520887301672,1.58045398660902,0.114002936466,0.121699963516527
"HSP90AB1",54270.0040359699,-0.478749457091867,0.0683484128317005,-7.00454388415322,2.47791748168563e-12,3.46878228930115e-12
"HSP90AA1",82314.5271088842,-0.731267334876879,0.094035034449625,-7.7765413620242,7.45342216268386e-15,1.08949233420919e-14
"TUBA1B",12024.843801192,1.97886722611379,0.116202723397259,17.0294393131278,4.96779182067276e-65,1.42207686557363e-64
"RPS11",28086.7637802147,0.291909877567924,0.0763532169793456,3.82315099633443,0.000131757036972533,0.000155873340967506
"RPS2",15181.9416232523,-0.698984930656355,0.0883943302146378,-7.90757652622165,2.62447804924649e-15,3.86731495857515e-15
"RPS18",24331.3621530799,-0.594901566830332,0.0872516979293198,-6.8182233807329,9.2173246347446e-12,1.27707506918809e-11
"COL3A1",1922.4697151704,3.13712605616633,0.166009735460364,18.8972414627776,1.20173534503851e-79,4.09460374760968e-79
"AHNAK",15765.8010902459,-1.66315871008786,0.102169637493672,-16.278404728517,1.40483617619497e-59,3.79974421926061e-59
"PABPC1",10911.8959557072,0.036094966589317,0.0690725673759548,0.522565874710518,0.601276393348138,0.614006913908307
"HBB",11948.2647784123,-1.80603453844458,0.208968136778735,-8.64263119863527,5.49330172560662e-18,8.46865572229901e-18
"RPL7A",23106.5696838038,-0.164801861830136,0.0594377772445773,-2.77267874860127,0.00555969760250307,0.00623483477717201
"RPL15",33051.4872816269,-0.466998285047391,0.0484451382151988,-9.63973480626542,5.43281453112838e-22,8.94353621150476e-22
"RACK1",16678.956602045,0.0284908384193726,0.0547751478793512,0.520141697875961,0.60296481743499,0.615621554686138
"PTMA",23610.7127648695,0.928649965166338,0.086537577310712,10.7311759125407,7.26655256140622e-27,1.2844588366551e-26
"TUBB",15860.1298863323,2.20813236658963,0.0656263611070401,33.6470334381034,3.44552356214547e-248,6.78407632416259e-247
"RPL7",19711.1304375635,-0.146990031268336,0.0650211996788696,-2.26064778863354,0.0237810759891843,0.0261177737542907
"RPS3",19822.932100493,-0.137212334134386,0.0751614680898296,-1.82556750980963,0.0679154335307382,0.0731813819111371
"RPS8",22378.4525561985,-0.435866440693231,0.0720612113473391,-6.04855833733256,1.46147702317574e-09,1.94507765206195e-09
"MT-ND3",323198.192795593,-4.4001729369178,0.139086459500457,-31.6362423252521,1.17249006063141e-219,1.73217675752741e-218
"RPLP1",22831.8785229014,-1.29831161184105,0.0938903695114842,-13.8279529476369,1.72870236970667e-43,3.82788859989638e-43
"HSPA8",44201.8797191088,-0.2621721998694,0.0795296637251985,-3.29653348938192,0.000978859437533957,0.00112611019076491
"APP",56946.4148651213,-0.729013979111443,0.0804693107792137,-9.05952806171861,1.31016178772248e-19,2.07668422552697e-19
"RPL6",18797.7441127419,0.291031382121015,0.0611008776806368,4.76312932266183,1.90613593217808e-06,2.37213078550218e-06
"RPSA",22477.5468614742,-0.579952211930506,0.0838858316238126,-6.91358958603773,4.72541021844038e-12,6.58128899508336e-12
"RPL19",24596.869544658,-0.144060131765543,0.080482721894058,-1.78995104011484,0.0734617825441679,0.0790612977521567
"MBP",831554.165637354,-6.84426713928482,0.344206860601894,-19.8841682798439,5.57998157150196e-88,2.09322249866899e-87
"RPS24",21644.0836903098,-0.183436274038237,0.0752432321676375,-2.43791061008055,0.0147724264766928,0.0163412049268533
"RPL18A",9946.23793777714,0.335324915924638,0.0707638744395298,4.73864551058726,2.15151505653625e-06,2.67372971029334e-06
"EIF4G2",26171.4003237352,1.25032742213204,0.0426822922164742,29.2938208611358,1.24321063436927e-188,1.34250375088663e-187
"PKM",45173.5070388952,0.325508026018898,0.0630874540533455,5.15963167167365,2.47436151535053e-07,3.13501057778243e-07
"RPL37A",26074.3977282844,-0.593325849128387,0.0822771998150907,-7.21130338005941,5.54188268067421e-13,7.83922012217613e-13
"SRRM2",31983.0464122862,-0.0659767973059478,0.0920432634222821,-0.71680202171076,0.473496264090687,0.487642527857258
"PTPRZ1",13132.0010384939,-0.694695191113891,0.124921049546076,-5.5610739233956,2.68119587839156e-08,3.47101020503629e-08
"HBA1",463.822980767166,3.57407286970917,0.212014170498115,16.857707488665,9.2092398001774e-64,2.6050483900009e-63
"RPS23",14088.9148931219,0.336376064368361,0.0657922530674616,5.11270018406955,3.17586143973288e-07,4.01317849699402e-07
"RPL9",18739.5208792566,-0.0574375021087574,0.0745148190551875,-0.770819856198238,0.440813716118451,0.455208766401916
"GLUL",100535.549602257,-2.01100540751039,0.124912513089049,-16.0993110920502,2.57960699253602e-58,6.8687795563259e-58
