"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",3717634.40357228,-3.7800640651724,0.187114746295612,-20.2018501481465,9.42973273511565e-91,4.45081834154575e-90
"EEF1A1",138320.141549652,2.21390864050923,0.0878126014670032,25.2117418630529,2.97808611721193e-140,2.57033462702825e-139
"MT-ND4",2885784.02317821,-4.3668691805049,0.159537155330009,-27.3721138594446,5.89194048123469e-165,6.79734520443145e-164
"MT-CO3",1767885.9349121,-3.97756504138052,0.156445397346093,-25.4246216817823,1.34761841165458e-142,1.19824258306606e-141
"GFAP",467989.754518311,-4.17150786023802,0.225164921484096,-18.5264553321316,1.2634041951026e-76,4.97687603142853e-76
"MT-CYB",1509652.96699197,-4.34034451036786,0.163905840979589,-26.4807189568575,1.61645718372692e-154,1.65820482680977e-153
"MT-ND2",1569967.10322817,-4.51680466158045,0.158402028525823,-28.5148157736131,7.67471437291238e-179,1.03401462777771e-177
"MT-ND1",1435453.81617097,-4.64113028133798,0.161853348536995,-28.6749104871139,7.84306512053256e-181,1.08601380601439e-179
"MT-CO2",1753986.31876204,-4.38110424348391,0.156133265445279,-28.0600308396123,3.01365054849767e-173,3.81828859229633e-172
"MT-ND5",756148.65221305,-3.34256648193291,0.182452481228551,-18.320202934077,5.70995311989861e-75,2.19653323938727e-74
"ACTB",101416.70353127,-0.0973409985221367,0.0754838701760707,-1.28956025035657,0.197203384462004,0.209776447988077
"FN1",8326.88173145719,2.29619109099523,0.155043124578436,14.8100155826877,1.26211056862916e-49,3.48012664359695e-49
"ACTG1",63426.1352480987,1.30290679326425,0.0821377332858481,15.8624634640208,1.1528177967759e-56,3.49714468530404e-56
"CLU",176543.263875006,-4.04099636172174,0.131676220569809,-30.6888847829543,8.0087826635835e-207,1.45925105071865e-205
"GAPDH",66535.353834456,-0.259210365445199,0.0679826876555424,-3.81288787460974,0.000137352434354985,0.000168465497805415
"VIM",12597.1079422193,-0.0721102244042782,0.192173227206852,-0.375235538541797,0.707485301979027,0.720477624327294
"COL1A1",2322.43728759304,5.16503554577555,0.209379832887519,24.6682570835284,2.34433887822493e-134,1.88714347707882e-133
"TPT1",40632.7727750354,-0.11456979532563,0.109658593672531,-1.04478629069204,0.296121752423686,0.311480032628195
"SPARC",48880.2160803095,-0.631643556326444,0.188921226644376,-3.34342290459211,0.000827516839426927,0.000984461166937682
"EEF2",67104.3473394809,0.784920781963173,0.0597976590128594,13.1262794383703,2.3281712333393e-39,5.56077353048311e-39
"IGF2",1994.68981897279,1.55465560247196,0.194689983104897,7.98528808559361,1.40194508649083e-15,2.22955495259465e-15
"RPL13A",39792.2992782816,0.61926028654472,0.080444640934616,7.69796818470536,1.38246779379981e-14,2.15411263811973e-14
"RPL3",52378.0003032099,0.545265882144629,0.065160179374142,8.36808442490279,5.85624309629319e-17,9.5842336045551e-17
"RPLP0",19239.2412774495,1.79974723219085,0.0809709150516368,22.2270827869874,1.87959008001756e-109,1.1150291746006e-108
"COL1A2",2360.09190243407,4.22892747283041,0.162826639705062,25.9719630675331,1.02723936552753e-148,9.88405756654699e-148
"FTH1",27947.8464538608,-0.708749442859808,0.13527884296343,-5.23917434045029,1.61296607604223e-07,2.14545047356764e-07
"RPS3A",15359.3240936548,2.26275698294103,0.0806764980791983,28.0472880803494,4.31063946419402e-173,5.44954079399595e-172
"FTL",87715.8814723215,-2.23640350999029,0.149011740350561,-15.0082369666242,6.48485492216283e-51,1.82763686843867e-50
"CD74",12630.9818182642,-1.91700520241156,0.214068034119393,-8.9551212552472,3.39362441380175e-19,5.81424099194483e-19
"RPL4",45249.8438098987,0.430968821156314,0.0736740023801146,5.84967298142387,4.92540413301868e-09,6.80861199938842e-09
"RPL10",25679.9578667951,1.14487284416039,0.0827891142196498,13.8287847979977,1.70882906060676e-43,4.31777433121395e-43
"HNRNPA1",27682.9076520681,1.81230274113671,0.0695753943763687,26.0480412275214,1.41587906935414e-149,1.37503179671034e-148
"GNAS",81173.3727239286,-0.721533421883871,0.101768664737052,-7.08993700318421,1.34173063102125e-12,2.00412829063019e-12
"TUBA1A",48475.6555589238,1.25352171639125,0.119958753786476,10.4496060256052,1.47135159731909e-25,2.81587945742345e-25
"EEF1G",27071.0181133559,1.30440272326584,0.0701352019179252,18.5984026222994,3.31025312559996e-77,1.31527849182284e-76
"LRP1",23371.3468957653,-2.02221576108146,0.092805851896871,-21.7897440705422,2.90268297612981e-105,1.64461490044394e-104
"RPS4X",24625.1149424718,0.795436761333854,0.0822508711727163,9.67086123213867,4.00989221482879e-22,7.23735105880813e-22
"B2M",26032.3627696149,-1.3059976504426,0.145233493249176,-8.99239990187328,2.41889773617732e-19,4.15479980750852e-19
"TMSB4X",55849.7123386545,-0.344015444417044,0.141175775934211,-2.43678805475352,0.0148183618706533,0.0167933632059659
