"","comparison","gene","prob","log2FC","direction"
"1","cluster2 vs_Normal_Brain","MT-CO2",1,-3.99031041336662,"down"
"2","cluster2 vs_Normal_Brain","ACTB",1,0.616853476126707,"up"
"3","cluster2 vs_Normal_Brain","CLU",1,-3.22496741376955,"down"
"4","cluster2 vs_Normal_Brain","GAPDH",1,-0.328386248351166,"down"
"5","cluster2 vs_Normal_Brain","TPT1",1,-0.430522265736054,"down"
"6","cluster2 vs_Normal_Brain","IGF2",1,3.508284976522,"up"
"7","cluster2 vs_Normal_Brain","RPLP0",1,0.758117285956364,"up"
"8","cluster2 vs_Normal_Brain","RPS3A",1,1.30459134432593,"up"
"9","cluster2 vs_Normal_Brain","FTL",1,-1.80768198828682,"down"
"10","cluster2 vs_Normal_Brain","RPL10",1,0.513552286019598,"up"
"11","cluster2 vs_Normal_Brain","HNRNPA1",1,0.804322844334027,"up"
"12","cluster2 vs_Normal_Brain","TUBA1A",1,1.23826571980212,"up"
"13","cluster2 vs_Normal_Brain","PSAP",1,-1.01477823696778,"down"
"14","cluster2 vs_Normal_Brain","LRP1",1,0.654770549788627,"up"
"15","cluster2 vs_Normal_Brain","TMSB4X",1,-0.628356104109491,"down"
"16","cluster2 vs_Normal_Brain","MAP1B",1,1.84211301745512,"up"
"17","cluster2 vs_Normal_Brain","HBA2",1,2.05181795857946,"up"
"18","cluster2 vs_Normal_Brain","RPS11",1,0.346983853344894,"up"
"19","cluster2 vs_Normal_Brain","RACK1",1,0.758919681198445,"up"
"20","cluster2 vs_Normal_Brain","TUBB",1,2.3321318661339,"up"
"21","cluster2 vs_Normal_Brain","RPS8",1,0.288909526954288,"up"
"22","cluster2 vs_Normal_Brain","RPL6",1,0.486546928480116,"up"
"23","cluster2 vs_Normal_Brain","MBP",1,-6.8768179256748,"down"
"24","cluster2 vs_Normal_Brain","RPL18A",1,1.38236909994491,"up"
"25","cluster2 vs_Normal_Brain","EIF4G2",1,0.875207968099119,"up"
"26","cluster2 vs_Normal_Brain","SRRM2",1,0.985860712794121,"up"
"27","cluster2 vs_Normal_Brain","HBA1",1,3.97566728605812,"up"
"28","cluster2 vs_Normal_Brain","FLNA",1,1.42781355162755,"up"
"29","cluster2 vs_Normal_Brain","RPL23A",1,1.05341282614965,"up"
"30","cluster2 vs_Normal_Brain","H3-3B",1,1.13283608068068,"up"
"31","cluster2 vs_Normal_Brain","DYNC1H1",1,1.42722511333596,"up"
"32","cluster2 vs_Normal_Brain","RPL41",1,0.953325801492891,"up"
"33","cluster2 vs_Normal_Brain","DDX5",1,0.362793503344332,"up"
"34","cluster2 vs_Normal_Brain","IGFBP5",1,2.45661742569991,"up"
"35","cluster2 vs_Normal_Brain","TMSB10",1,1.15081127135265,"up"
"36","cluster2 vs_Normal_Brain","DST",1,0.732702322686276,"up"
"37","cluster2 vs_Normal_Brain","HLA-B",1,-0.967441331315123,"down"
"38","cluster2 vs_Normal_Brain","RPL23",1,0.483285711607701,"up"
"39","cluster2 vs_Normal_Brain","ALDOA",1,-1.27500806211206,"down"
"40","cluster2 vs_Normal_Brain","RPS19",1,0.313994858698088,"up"
"41","cluster2 vs_Normal_Brain","APOE",1,-2.08466443338263,"down"
"42","cluster2 vs_Normal_Brain","CALM1",1,-1.68900239185528,"down"
"43","cluster2 vs_Normal_Brain","UBB",1,0.479759946835564,"up"
"44","cluster2 vs_Normal_Brain","YWHAZ",1,-0.777253689987178,"down"
"45","cluster2 vs_Normal_Brain","PLP1",1,-7.04142468108636,"down"
"46","cluster2 vs_Normal_Brain","TMBIM6",1,-1.17655107029535,"down"
"47","cluster2 vs_Normal_Brain","MYL6",1,0.756836592061148,"up"
"48","cluster2 vs_Normal_Brain","VCAN",1,2.63114794020243,"up"
"49","cluster2 vs_Normal_Brain","HNRNPC",1,0.686354469910512,"up"
"50","cluster2 vs_Normal_Brain","SLC1A2",1,-2.91591449687519,"down"
"51","cluster2 vs_Normal_Brain","DPYSL3",1,2.65233191352839,"up"
"52","cluster2 vs_Normal_Brain","PCDHGC3",1,0.929658228084124,"up"
"53","cluster2 vs_Normal_Brain","PRL",1,2.45275745437869,"up"
"54","cluster2 vs_Normal_Brain","HNRNPK",1,0.255100155604701,"up"
"55","cluster2 vs_Normal_Brain","CALM2",1,-2.33966087241817,"down"
"56","cluster2 vs_Normal_Brain","CLTC",1,0.536919627958342,"up"
