"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT-CO1",3717634.40357228,-3.47294937923446,0.234914599027482,-14.7838805830376,1.86126073530074e-49,1.00307098500081e-48
"EEF1A1",138320.141549652,0.843496390466632,0.110245668605642,7.65106149869606,1.99326978925868e-14,4.09975701682501e-14
"MT-ND4",2885784.02317821,-4.12000562395772,0.200291965187571,-20.5699995009754,5.09665483346337e-94,7.53923979810903e-93
"MT-CO3",1767885.9349121,-3.75644853786538,0.196410341726868,-19.1255129686051,1.54842675007661e-81,1.77389128384525e-80
"GFAP",467989.754518311,-3.87444069796173,0.28268407014215,-13.7059038948089,9.3594439791861e-43,4.2992019782744e-42
"MT-CYB",1509652.96699197,-4.15742809582944,0.205776522665343,-20.2036074960346,9.10003233559558e-91,1.2495128131615e-89
"MT-ND2",1569967.10322817,-4.22768152212989,0.198866555308076,-21.2588864707821,2.72812726327486e-100,4.51241683791528e-99
"MT-ND1",1435453.81617097,-3.84679013206681,0.20319894128852,-18.9311524345237,6.3165295064743e-80,7.02591494232737e-79
"MT-CO2",1753986.31876204,-4.53786511386389,0.196018756843469,-23.1501576019463,1.44844742849298e-118,3.33200962558536e-117
"MT-ND5",756148.65221305,-2.87252104654995,0.229060859524134,-12.5404272581423,4.48570524883685e-36,1.73080371601338e-35
"ACTB",101416.70353127,0.342711394031822,0.0947656725403764,3.61640860920186,0.000298718715144019,0.000402275003653003
"FN1",8326.88173145719,2.38070128107767,0.194649218806884,12.2307261013958,2.13025842669255e-34,7.90088416155211e-34
"ACTG1",63426.1352480987,0.798782739690528,0.103120955433931,7.74607582260329,9.47759302352715e-15,1.9741116007452e-14
"CLU",176543.263875006,-3.28179225669741,0.165306503682452,-19.8527715703286,1.0428707856747e-87,1.33905075489484e-86
"GAPDH",66535.353834456,-0.503284518395465,0.0853496989140948,-5.89673454972612,3.70765595654558e-09,6.26069178069825e-09
"VIM",12597.1079422193,0.856485021915667,0.241259634487571,3.55005520809487,0.000385150371585367,0.000514984404825676
"COL1A1",2322.43728759304,6.22327188513312,0.262863033747698,23.6749602878979,6.53187265407127e-124,1.68872446387577e-122
"TPT1",40632.7727750354,-0.841676929870125,0.137674426875328,-6.11353138685887,9.74501934753151e-10,1.6834172624577e-09
"SPARC",48880.2160803095,-1.01368774921045,0.237183272829199,-4.27385851084207,1.92118975536418e-05,2.74227023151274e-05
"EEF2",67104.3473394809,0.782081374200879,0.0750730129122109,10.4176100553661,2.0606625507393e-25,5.93138049647353e-25
"IGF2",1994.68981897279,4.20460244703625,0.24437941863736,17.2052232159352,2.42640012479112e-66,1.93555573540495e-65
"RPL13A",39792.2992782816,-0.180458580033479,0.100997545847076,-1.7867620299083,0.0739759586875848,0.0847390509704406
"RPL3",52378.0003032099,-0.469163111247492,0.081809661155513,-5.73481303578136,9.76199702804494e-09,1.61466806750617e-08
"RPLP0",19239.2412774495,0.603982350533453,0.101660612594934,5.94116379113329,2.83005668958763e-09,4.80352221496028e-09
"COL1A2",2360.09190243407,4.5220632149056,0.204418750021583,22.1215676860765,1.95997960164218e-108,3.72493474292229e-107
"FTH1",27947.8464538608,-0.0991373994159731,0.169832642133487,-0.583735836471603,0.559398052803211,0.58389209460672
"RPS3A",15359.3240936548,1.0572286965199,0.101291034550274,10.4375347849287,1.67093584214956e-25,4.8241128098679e-25
"FTL",87715.8814723215,-2.39645328186533,0.187077927510612,-12.8099199822993,1.44283271469757e-37,5.79303138580392e-37
"CD74",12630.9818182642,-1.14151537915443,0.268738158316799,-4.2476862471044,2.1598958888502e-05,3.07725517042465e-05
"RPL4",45249.8438098987,-0.386093409722657,0.0924976048247734,-4.17409089082975,2.99178306572445e-05,4.2319997303082e-05
"RPL10",25679.9578667951,0.217450669343777,0.103941910235672,2.09204034109766,0.0364349071512757,0.0428169839465084
"HNRNPA1",27682.9076520681,0.545814898935743,0.0873533876128339,6.24835411483862,4.14800398929235e-10,7.26723714790703e-10
"GNAS",81173.3727239286,-1.06860952763698,0.12776686957538,-8.36374508656589,6.07581206335554e-17,1.36059786725045e-16
"TUBA1A",48475.6555589238,0.923386681606985,0.150603373426151,6.13124832864235,8.71921814790381e-10,1.50848387520404e-09
"EEF1G",27071.0181133559,0.653458575951409,0.088053887811994,7.42112122688579,1.16132957572529e-13,2.31962801457293e-13
"LRP1",23371.3468957653,0.365376240434496,0.116477726783907,3.13687647005982,0.00170758055636487,0.00219770346524413
"RPS4X",24625.1149424718,-0.346320574755926,0.103269273012469,-3.35356843960848,0.000797766819528421,0.00104753664165714
"B2M",26032.3627696149,-2.5216763871911,0.182350213919425,-13.8287547515867,1.70954291151795e-43,8.00973186992429e-43
"TMSB4X",55849.7123386545,-1.11948823705312,0.177242198777647,-6.31614956694108,2.68160531344081e-10,4.72771423636724e-10
"MAP1B",45194.3208990337,1.52201024397295,0.128108061387923,11.8806750136055,1.49157970919732e-32,5.26016696831828e-32
