"","comparison","gene","prob","log2FC","direction"
"1","cluster1 vs_Normal_Brain","GFAP",1,-4.23251551344929,"down"
"2","cluster1 vs_Normal_Brain","MT-ND5",1,-3.13205836935852,"down"
"3","cluster1 vs_Normal_Brain","ACTB",1,0.52424751342567,"up"
"4","cluster1 vs_Normal_Brain","FN1",1,2.88677546139309,"up"
"5","cluster1 vs_Normal_Brain","GAPDH",1,0.631283149002339,"up"
"6","cluster1 vs_Normal_Brain","VIM",1,1.73086035871698,"up"
"7","cluster1 vs_Normal_Brain","COL1A1",1,6.19293350254871,"up"
"8","cluster1 vs_Normal_Brain","SPARC",1,0.535358184680259,"up"
"9","cluster1 vs_Normal_Brain","RPL3",1,1.15260157531879,"up"
"10","cluster1 vs_Normal_Brain","RPLP0",1,2.69014566705938,"up"
"11","cluster1 vs_Normal_Brain","RPL4",1,1.57771166122552,"up"
"12","cluster1 vs_Normal_Brain","MAP1B",1,1.32169715507069,"up"
"13","cluster1 vs_Normal_Brain","HSP90AB1",1,0.698635317448801,"up"
"14","cluster1 vs_Normal_Brain","RPS11",1,2.37633687340873,"up"
"15","cluster1 vs_Normal_Brain","RPS2",1,2.13717576528918,"up"
"16","cluster1 vs_Normal_Brain","RPS18",1,1.94205251401512,"up"
"17","cluster1 vs_Normal_Brain","AHNAK",1,0.850274811307736,"up"
"18","cluster1 vs_Normal_Brain","PABPC1",1,2.34671993461409,"up"
"19","cluster1 vs_Normal_Brain","RPL7A",1,1.72718001701156,"up"
"20","cluster1 vs_Normal_Brain","RACK1",1,2.41392561446875,"up"
"21","cluster1 vs_Normal_Brain","TUBB",1,2.99945720596713,"up"
"22","cluster1 vs_Normal_Brain","RPL7",1,2.04447577787323,"up"
"23","cluster1 vs_Normal_Brain","SPTBN1",1,-0.450862998670258,"down"
"24","cluster1 vs_Normal_Brain","MT-ND3",1,-3.65098051501109,"down"
"25","cluster1 vs_Normal_Brain","HSPA8",1,0.368826777336263,"up"
"26","cluster1 vs_Normal_Brain","MBP",1,-7.34304581776643,"down"
"27","cluster1 vs_Normal_Brain","RPS24",1,1.61556947201668,"up"
"28","cluster1 vs_Normal_Brain","EIF4G2",1,1.08877587139239,"up"
"29","cluster1 vs_Normal_Brain","PKM",1,-0.537802143792521,"down"
"30","cluster1 vs_Normal_Brain","SRRM2",1,0.28689300084829,"up"
"31","cluster1 vs_Normal_Brain","HBA1",1,1.86302357203766,"up"
