"","comparison","gene","prob","log2FC","direction"
"1","cluster4 vs_Normal_Brain","MT-CO1",1,-2.79069093039236,"down"
"2","cluster4 vs_Normal_Brain","MT-CYB",1,-3.77300886722698,"down"
"3","cluster4 vs_Normal_Brain","MT-ND2",1,-4.12118821433769,"down"
"4","cluster4 vs_Normal_Brain","ACTB",1,0.47953434676987,"up"
"5","cluster4 vs_Normal_Brain","FN1",1,1.59026449125676,"up"
"6","cluster4 vs_Normal_Brain","COL1A1",1,5.42554220091064,"up"
"7","cluster4 vs_Normal_Brain","EEF2",1,1.42879262739056,"up"
"8","cluster4 vs_Normal_Brain","RPL13A",1,1.62088400073191,"up"
"9","cluster4 vs_Normal_Brain","RPLP0",1,2.67082304249453,"up"
"10","cluster4 vs_Normal_Brain","FTL",1,-1.0315831074629,"down"
"11","cluster4 vs_Normal_Brain","RPL10",1,1.67343815035713,"up"
"12","cluster4 vs_Normal_Brain","HNRNPA1",1,1.85302766935589,"up"
"13","cluster4 vs_Normal_Brain","GNAS",1,-0.707522478769176,"down"
"14","cluster4 vs_Normal_Brain","TUBA1A",1,0.902499411105311,"up"
"15","cluster4 vs_Normal_Brain","EEF1G",1,2.4315622439202,"up"
"16","cluster4 vs_Normal_Brain","LRP1",1,-1.42280831038899,"down"
"17","cluster4 vs_Normal_Brain","TMSB4X",1,1.17629090117695,"up"
"18","cluster4 vs_Normal_Brain","RPS18",1,1.04618005137024,"up"
"19","cluster4 vs_Normal_Brain","COL3A1",1,4.08696753626935,"up"
"20","cluster4 vs_Normal_Brain","AHNAK",1,1.12928871818253,"up"
"21","cluster4 vs_Normal_Brain","PABPC1",1,2.18671579217252,"up"
"22","cluster4 vs_Normal_Brain","RPL15",1,1.09149528733184,"up"
"23","cluster4 vs_Normal_Brain","RACK1",1,2.29495364472316,"up"
"24","cluster4 vs_Normal_Brain","PTMA",1,1.19700995362839,"up"
"25","cluster4 vs_Normal_Brain","TUBB",1,2.08271529442108,"up"
"26","cluster4 vs_Normal_Brain","RPL7",1,1.66688761919148,"up"
"27","cluster4 vs_Normal_Brain","RPS3",1,2.24989944480209,"up"
"28","cluster4 vs_Normal_Brain","SPTBN1",1,-1.31621347698307,"down"
