"","comparison","gene","prob","log2FC","direction"
"1","cluster5 vs_Normal_Brain","MT-ND4",1,-4.04661238506883,"down"
"2","cluster5 vs_Normal_Brain","MT-ND2",1,-4.18814399991375,"down"
"3","cluster5 vs_Normal_Brain","MT-ND1",1,-4.29772060980558,"down"
"4","cluster5 vs_Normal_Brain","FN1",1,1.00216705029299,"up"
"5","cluster5 vs_Normal_Brain","ACTG1",1,1.12608329899927,"up"
"6","cluster5 vs_Normal_Brain","CLU",1,-2.97447315959266,"down"
"7","cluster5 vs_Normal_Brain","EEF2",1,0.379239646429913,"up"
"8","cluster5 vs_Normal_Brain","RPLP0",1,0.398950708987978,"up"
"9","cluster5 vs_Normal_Brain","COL1A2",1,1.20064837112894,"up"
"10","cluster5 vs_Normal_Brain","RPS3A",1,1.49264721095936,"up"
"11","cluster5 vs_Normal_Brain","CD74",1,-1.06120787367708,"down"
"12","cluster5 vs_Normal_Brain","RPL10",1,0.408921850164357,"up"
"13","cluster5 vs_Normal_Brain","TUBA1A",1,2.11044471939706,"up"
"14","cluster5 vs_Normal_Brain","PSAP",1,-0.529101899703022,"down"
"15","cluster5 vs_Normal_Brain","B2M",1,-1.87078236856567,"down"
"16","cluster5 vs_Normal_Brain","TUBA1B",1,2.3999500796918,"up"
"17","cluster5 vs_Normal_Brain","PABPC1",1,0.346490306977191,"up"
"18","cluster5 vs_Normal_Brain","RACK1",1,0.279914585059302,"up"
"19","cluster5 vs_Normal_Brain","PTMA",1,1.30822070266784,"up"
"20","cluster5 vs_Normal_Brain","SPTBN1",1,-0.626408952072365,"down"
"21","cluster5 vs_Normal_Brain","RPLP1",1,-0.915067449676199,"down"
"22","cluster5 vs_Normal_Brain","RPL6",1,0.491172708358391,"up"
"23","cluster5 vs_Normal_Brain","RPL18A",1,0.601958744178826,"up"
"24","cluster5 vs_Normal_Brain","EIF4G2",1,1.49082111368436,"up"
"25","cluster5 vs_Normal_Brain","SRRM2",1,0.277007410719152,"up"
"26","cluster5 vs_Normal_Brain","RPL23A",1,0.967900124976217,"up"
"27","cluster5 vs_Normal_Brain","DYNC1H1",1,1.04869124893844,"up"
"28","cluster5 vs_Normal_Brain","RPL41",1,0.56170409080121,"up"
"29","cluster5 vs_Normal_Brain","DDX5",1,0.923942483081002,"up"
"30","cluster5 vs_Normal_Brain","RPL26",1,-1.00593687249672,"down"
"31","cluster5 vs_Normal_Brain","RPL8",1,-0.637169834369775,"down"
"32","cluster5 vs_Normal_Brain","PPIA",1,0.173711454781016,"up"
"33","cluster5 vs_Normal_Brain","TMSB10",1,1.34152056517434,"up"
"34","cluster5 vs_Normal_Brain","MACF1",1,1.17383278445988,"up"
"35","cluster5 vs_Normal_Brain","SPARCL1",1,-2.53051310310542,"down"
"36","cluster5 vs_Normal_Brain","RPS27A",1,-0.564130898549126,"down"
"37","cluster5 vs_Normal_Brain","RPL30",1,0.26960566848553,"up"
"38","cluster5 vs_Normal_Brain","CANX",1,0.417851793692382,"up"
"39","cluster5 vs_Normal_Brain","RPL23",1,0.372984911085936,"up"
"40","cluster5 vs_Normal_Brain","RPS15A",1,0.259126834870418,"up"
"41","cluster5 vs_Normal_Brain","ALDOA",1,-1.02129264589471,"down"
"42","cluster5 vs_Normal_Brain","CALM1",1,-1.27245171568224,"down"
"43","cluster5 vs_Normal_Brain","UBB",1,0.835535905718146,"up"
"44","cluster5 vs_Normal_Brain","MYH9",1,-0.929694955719629,"down"
"45","cluster5 vs_Normal_Brain","HNRNPU",1,0.790022160699301,"up"
"46","cluster5 vs_Normal_Brain","SCD",1,-2.61898893540944,"down"
"47","cluster5 vs_Normal_Brain","DDX17",1,0.307512332941466,"up"
"48","cluster5 vs_Normal_Brain","CTSB",1,-0.825793766332068,"down"
