k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k17	1	8, 11, 9, 16, 10, 15, 4, 6, 10, 6, 8, 9, 8, 7, 10, 7, 8	0.05	0	0.26, 0.41, 0.39, 0.75, 0.27, 0.64, 0.26, 0.3, 0.61, 0.26, 0.36, 0.28, 0.48, 0.28, 0.29, 0.38, 0.14	0.13, 0.19, 0.21, 0.25, 0.14, 0.25, 0.2, 0.21, 0.29, 0.13, 0.21, 0.15, 0.18, 0.15, 0.15, 0.19, 0.08	0.11, 0.17, 0.21, 0.18, 0.11, 0.24, 0.21, 0.2, 0.29, 0.13, 0.19, 0.15, 0.15, 0.13, 0.15, 0.18, 0.07	0.35	0.19	3.35	0.05	0.47	2.78	0.54
k18	1	8, 11, 4, 9, 10, 18, 4, 6, 5, 6, 8, 14, 10, 8, 6, 9, 8, 8	0.05	0	0.26, 0.41, 0.24, 0.73, 0.27, 0.64, 0.26, 0.3, 0.25, 0.26, 0.36, 0.49, 0.3, 0.48, 0.28, 0.29, 0.38, 0.14	0.13, 0.19, 0.19, 0.28, 0.14, 0.3, 0.2, 0.21, 0.17, 0.13, 0.21, 0.22, 0.17, 0.18, 0.15, 0.16, 0.19, 0.08	0.11, 0.17, 0.22, 0.17, 0.11, 0.29, 0.21, 0.2, 0.16, 0.13, 0.19, 0.19, 0.16, 0.15, 0.11, 0.16, 0.18, 0.07	0.35	0.19	3.45	0.06	0.45	2.82	0.55
k19	1	9, 8, 4, 9, 10, 18, 4, 6, 9, 7, 6, 7, 9, 8, 9, 5, 8, 8, 8	0.05	0	0.34, 0.41, 0.24, 0.73, 0.27, 0.64, 0.26, 0.3, 0.36, 0.28, 0.29, 0.18, 0.28, 0.48, 0.38, 0.42, 0.25, 0.38, 0.14	0.15, 0.2, 0.19, 0.28, 0.14, 0.3, 0.2, 0.21, 0.2, 0.14, 0.18, 0.14, 0.15, 0.18, 0.16, 0.23, 0.13, 0.19, 0.08	0.13, 0.18, 0.22, 0.17, 0.11, 0.29, 0.21, 0.2, 0.18, 0.14, 0.17, 0.14, 0.15, 0.15, 0.12, 0.18, 0.12, 0.18, 0.07	0.35	0.19	3.31	0.06	0.45	2.89	0.54
k20	1	9, 8, 4, 9, 10, 10, 4, 6, 9, 8, 7, 6, 7, 11, 8, 9, 5, 6, 8, 8	0.05	0	0.34, 0.41, 0.24, 0.73, 0.27, 0.54, 0.26, 0.3, 0.36, 0.45, 0.28, 0.29, 0.18, 0.3, 0.48, 0.38, 0.42, 0.25, 0.38, 0.14	0.15, 0.2, 0.19, 0.28, 0.14, 0.24, 0.2, 0.21, 0.2, 0.26, 0.14, 0.18, 0.14, 0.18, 0.18, 0.16, 0.23, 0.14, 0.19, 0.08	0.13, 0.18, 0.22, 0.17, 0.11, 0.24, 0.21, 0.2, 0.21, 0.29, 0.14, 0.17, 0.14, 0.18, 0.15, 0.12, 0.18, 0.14, 0.18, 0.07	0.35	0.18	3.03	0.06	0.49	2.96	0.53
k4	2	31, 64, 39, 18	0.05	0	0.21, 0.33, 0.34, 0.18	0.08, 0.14, 0.16, 0.11	0.07, 0.13, 0.14, 0.11	0.18	0.13	1.51	0.11	0.9	1.29	0.71
k5	2	28, 45, 28, 33, 18	0.05	0	0.21, 0.33, 0.15, 0.31, 0.18	0.08, 0.17, 0.09, 0.13, 0.11	0.07, 0.16, 0.09, 0.12, 0.11	0.18	0.12	1.35	0.12	0.62	1.57	0.69
k6	2	25, 28, 27, 23, 31, 18	0.04	0	0.21, 0.33, 0.15, 0.33, 0.31, 0.18	0.07, 0.17, 0.09, 0.16, 0.12, 0.11	0.06, 0.16, 0.09, 0.16, 0.11, 0.11	0.18	0.12	1.33	0.12	0.61	1.78	0.68
k7	2	26, 21, 25, 18, 25, 18, 19	0.05	0	0.21, 0.33, 0.15, 0.32, 0.25, 0.18, 0.29	0.07, 0.17, 0.09, 0.16, 0.11, 0.11, 0.18	0.06, 0.17, 0.09, 0.15, 0.1, 0.11, 0.18	0.18	0.12	1.35	0.12	0.59	1.93	0.7
k8	2	26, 21, 25, 18, 30, 17, 8, 7	0.05	0	0.21, 0.33, 0.15, 0.32, 0.34, 0.18, 0.18, 0.23	0.07, 0.17, 0.09, 0.16, 0.15, 0.1, 0.11, 0.15	0.06, 0.17, 0.09, 0.15, 0.12, 0.1, 0.12, 0.13	0.18	0.12	1.35	0.11	0.6	1.99	0.7
k9	2	18, 19, 25, 18, 16, 16, 8, 17, 15	0.03	0	0.21, 0.33, 0.15, 0.32, 0.24, 0.18, 0.18, 0.27, 0.32	0.08, 0.18, 0.09, 0.16, 0.12, 0.1, 0.11, 0.13, 0.17	0.07, 0.18, 0.09, 0.15, 0.11, 0.1, 0.12, 0.13, 0.15	0.17	0.13	1.39	0.08	0.58	2.16	0.72
