k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	dunn	dunn2	entropy	wb.ratio
k9	4	18, 19, 25, 18, 16, 16, 8, 17, 15	0.11	0	0.69, 1.07, 1.08, 1.15, 1.07, 1.16, 1.17, 1.08, 1.13	0.42, 0.81, 0.65, 0.87, 0.96, 0.89, 0.92, 0.78, 0.98	0.45, 0.86, 0.65, 0.93, 1, 0.94, 0.97, 0.8, 1	0.9	0.79	48.4	0.02	0.67	2.16	0.88
k10	4	18, 18, 26, 17, 14, 16, 10, 6, 12, 15	0.11	0	0.69, 1.07, 1.09, 1.15, 1.07, 1.16, 1.17, 1.01, 0.93, 1.13	0.42, 0.81, 0.65, 0.86, 0.96, 0.89, 0.91, 0.88, 0.67, 0.98	0.45, 0.86, 0.64, 0.91, 1, 0.94, 0.97, 0.94, 0.72, 1	0.9	0.78	47.14	0.02	0.59	2.24	0.87
k11	4	18, 18, 19, 17, 14, 16, 7, 10, 13, 12, 8	0.11	0	0.69, 1.07, 1.08, 1.15, 1.07, 1.16, 0.96, 1.17, 1.06, 0.93, 1.13	0.42, 0.81, 0.59, 0.86, 0.96, 0.89, 0.47, 0.91, 0.94, 0.67, 0.95	0.45, 0.86, 0.56, 0.91, 1, 0.94, 0.38, 0.97, 1, 0.72, 1	0.9	0.76	45.53	0.02	0.6	2.35	0.85
k12	4	18, 18, 11, 17, 14, 15, 10, 6, 10, 13, 12, 8	0.11	0	0.69, 1.07, 1.03, 1.15, 1.07, 1.16, 1.17, 0.62, 1.08, 1.06, 0.93, 1.13	0.42, 0.81, 0.6, 0.86, 0.96, 0.87, 0.61, 0.32, 0.91, 0.94, 0.67, 0.95	0.45, 0.86, 0.58, 0.91, 1, 0.93, 0.58, 0.31, 0.97, 1, 0.72, 1	0.89	0.75	44.88	0.02	0.6	2.44	0.84
k13	4	17, 17, 12, 15, 12, 15, 3, 9, 6, 11, 16, 11, 8	0.11	0	0.69, 1.07, 1.03, 1.15, 1.07, 1.16, 0.53, 0.84, 0.62, 1.17, 1.07, 0.93, 1.13	0.41, 0.81, 0.58, 0.86, 0.96, 0.87, 0.47, 0.49, 0.32, 0.92, 0.95, 0.64, 0.95	0.45, 0.86, 0.57, 0.93, 1, 0.93, 0.49, 0.51, 0.31, 0.97, 1, 0.66, 1	0.89	0.74	43.83	0.02	0.55	2.49	0.83
k14	4	17, 20, 11, 14, 12, 15, 3, 11, 6, 1, 9, 15, 10, 8	0.11	0	0.69, 1.07, 1.03, 1.07, 1.07, 1.16, 0.53, 1.17, 0.62, NA, 1.04, 1.07, 0.92, 1.13	0.41, 0.83, 0.6, 0.85, 0.95, 0.87, 0.47, 0.62, 0.32, NaN, 0.9, 0.95, 0.61, 0.95	0.45, 0.89, 0.58, 0.9, 1, 0.93, 0.49, 0.63, 0.31, NA, 0.96, 1, 0.6, 1	0.89	0.75	43.64	0.02	0.55	2.51	0.84
k15	4	17, 20, 4, 16, 10, 15, 3, 12, 7, 6, 9, 8, 10, 8, 7	0.11	0	0.69, 1.07, 0.56, 1.15, 1.07, 1.16, 0.53, 1.17, 1.02, 0.62, 1.04, 1.07, 0.92, 1.13, 1.04	0.41, 0.83, 0.5, 0.87, 0.96, 0.87, 0.47, 0.65, 0.59, 0.32, 0.9, 0.9, 0.61, 0.95, 1.01	0.45, 0.89, 0.51, 0.93, 1, 0.93, 0.49, 0.67, 0.59, 0.31, 0.96, 0.96, 0.6, 1, 1.01	0.89	0.75	43.34	0.02	0.52	2.6	0.84
k16	4	8, 11, 11, 16, 10, 15, 3, 12, 6, 9, 9, 7, 9, 10, 8, 8	0.11	0	0.69, 1.07, 1.03, 1.15, 1.07, 1.16, 0.53, 1.17, 0.62, 0.41, 1.04, 1.07, 1.05, 0.92, 1.13, 1.04	0.53, 0.9, 0.6, 0.87, 0.96, 0.87, 0.47, 0.65, 0.32, 0.19, 0.9, 0.91, 0.73, 0.61, 0.95, 0.99	0.54, 0.93, 0.58, 0.93, 1, 0.93, 0.49, 0.67, 0.31, 0.18, 0.96, 0.94, 0.77, 0.6, 1, 1	0.89	0.74	42.93	0.02	0.43	2.72	0.83
k17	4	8, 11, 9, 16, 10, 15, 4, 6, 10, 6, 8, 9, 8, 7, 10, 7, 8	0.11	0	0.69, 1.05, 0.82, 1.15, 1.07, 1.16, 1.06, 1.11, 1.07, 0.62, 0.84, 0.41, 1.04, 1.07, 0.92, 1.13, 1.04	0.53, 0.72, 0.52, 0.89, 0.96, 0.87, 0.74, 0.89, 0.92, 0.32, 0.48, 0.19, 0.92, 0.89, 0.61, 0.95, 0.99	0.54, 0.7, 0.54, 0.96, 1, 0.93, 0.75, 0.98, 0.95, 0.31, 0.44, 0.18, 0.96, 0.94, 0.6, 1, 1	0.89	0.74	42.63	0.02	0.46	2.78	0.83
k18	4	8, 11, 4, 9, 10, 18, 4, 6, 5, 6, 8, 14, 10, 8, 6, 9, 8, 8	0.11	0	0.69, 1.05, 0.56, 1.15, 1.07, 1.16, 1.06, 1.11, 0.71, 0.62, 0.84, 1.09, 0.41, 1.04, 1.07, 0.92, 1.13, 1.04	0.53, 0.72, 0.5, 0.9, 0.96, 0.91, 0.74, 0.89, 0.43, 0.32, 0.48, 0.83, 0.18, 0.92, 0.9, 0.65, 0.95, 0.99	0.54, 0.7, 0.51, 0.96, 1, 0.99, 0.75, 0.98, 0.36, 0.31, 0.44, 0.86, 0.17, 0.96, 0.97, 0.66, 1, 1	0.89	0.74	42.11	0.02	0.48	2.82	0.83
k19	4	9, 8, 4, 9, 10, 18, 4, 6, 9, 7, 6, 7, 9, 8, 9, 5, 8, 8, 8	0.11	0	0.79, 0.95, 0.56, 1.15, 1.07, 1.16, 1.06, 1.11, 1.05, 0.91, 0.49, 1.03, 0.41, 1.04, 1.05, 1.11, 0.92, 1.13, 1.04	0.57, 0.7, 0.5, 0.9, 0.96, 0.91, 0.74, 0.89, 0.73, 0.44, 0.33, 0.8, 0.19, 0.92, 0.87, 0.82, 0.53, 0.95, 0.99	0.59, 0.68, 0.51, 0.96, 1, 0.99, 0.75, 0.98, 0.81, 0.38, 0.31, 0.9, 0.18, 0.96, 0.93, 0.8, 0.56, 1, 1	0.89	0.74	42.41	0.02	0.41	2.89	0.84
k20	4	9, 8, 4, 9, 10, 10, 4, 6, 9, 8, 7, 6, 7, 11, 8, 9, 5, 6, 8, 8	0.11	0	0.79, 0.95, 0.56, 1.15, 1.07, 1.13, 1.06, 1.11, 1.05, 1.1, 0.91, 0.49, 1.03, 0.41, 1.04, 1.05, 1.11, 0.92, 1.13, 1.04	0.57, 0.7, 0.5, 0.9, 0.96, 0.88, 0.74, 0.89, 0.73, 0.96, 0.44, 0.33, 0.8, 0.18, 0.92, 0.87, 0.82, 0.58, 0.95, 0.99	0.59, 0.68, 0.51, 0.96, 1, 0.9, 0.75, 0.98, 0.81, 1, 0.38, 0.31, 0.9, 0.17, 0.96, 0.93, 0.8, 0.59, 1, 1	0.89	0.74	41.88	0.02	0.43	2.96	0.83
k4	5	31, 64, 39, 18	0.46	0	0.82, 0.89, 0.88, 0.81	0.57, 0.64, 0.66, 0.61	0.57, 0.63, 0.67, 0.6	0.67	0.63	29.79	0.51	0.95	1.29	0.94
k5	5	28, 45, 28, 33, 18	0.46	0	0.71, 0.86, 0.68, 0.85, 0.81	0.55, 0.68, 0.55, 0.65, 0.61	0.56, 0.68, 0.55, 0.66, 0.6	0.67	0.62	28.65	0.52	0.84	1.57	0.93
k6	5	25, 28, 27, 23, 31, 18	0.46	0	0.71, 0.84, 0.68, 0.75, 0.85, 0.81	0.53, 0.69, 0.55, 0.6, 0.65, 0.61	0.55, 0.7, 0.54, 0.59, 0.66, 0.6	0.67	0.61	27.5	0.53	0.82	1.78	0.91
k7	5	26, 21, 25, 18, 25, 18, 19	0.46	0	0.71, 0.81, 0.68, 0.74, 0.81, 0.81, 0.84	0.54, 0.69, 0.54, 0.58, 0.62, 0.61, 0.66	0.55, 0.7, 0.53, 0.57, 0.61, 0.6, 0.66	0.67	0.6	26.68	0.54	0.82	1.93	0.9
k8	5	26, 21, 25, 18, 30, 17, 8, 7	0.46	0	0.71, 0.81, 0.68, 0.74, 0.82, 0.8, 0.83, 0.64	0.54, 0.69, 0.54, 0.58, 0.64, 0.61, 0.68, 0.56	0.55, 0.7, 0.53, 0.57, 0.64, 0.59, 0.67, 0.56	0.67	0.6	26.39	0.54	0.82	1.99	0.9
k9	5	18, 19, 25, 18, 16, 16, 8, 17, 15	0.46	0	0.67, 0.81, 0.68, 0.74, 0.81, 0.8, 0.83, 0.68, 0.76	0.5, 0.7, 0.54, 0.58, 0.6, 0.61, 0.68, 0.57, 0.63	0.48, 0.71, 0.53, 0.57, 0.59, 0.6, 0.67, 0.57, 0.63	0.67	0.59	25.57	0.54	0.78	2.16	0.89
k10	5	18, 18, 26, 17, 14, 16, 10, 6, 12, 15	0.46	0	0.67, 0.81, 0.81, 0.67, 0.74, 0.8, 0.85, 0.66, 0.66, 0.76	0.5, 0.69, 0.55, 0.57, 0.57, 0.61, 0.69, 0.57, 0.54, 0.63	0.48, 0.71, 0.54, 0.56, 0.56, 0.6, 0.7, 0.56, 0.54, 0.63	0.67	0.59	25.17	0.53	0.79	2.24	0.88
k11	5	18, 18, 19, 17, 14, 16, 7, 10, 13, 12, 8	0.46	0	0.67, 0.81, 0.81, 0.67, 0.74, 0.8, 0.59, 0.85, 0.71, 0.66, 0.69	0.5, 0.69, 0.56, 0.57, 0.57, 0.61, 0.51, 0.69, 0.61, 0.54, 0.63	0.48, 0.71, 0.54, 0.56, 0.56, 0.6, 0.51, 0.7, 0.63, 0.54, 0.63	0.66	0.59	25	0.53	0.77	2.35	0.89
k12	5	18, 18, 11, 17, 14, 15, 10, 6, 10, 13, 12, 8	0.46	0	0.67, 0.81, 0.81, 0.67, 0.74, 0.74, 0.62, 0.55, 0.89, 0.71, 0.66, 0.69	0.5, 0.69, 0.58, 0.57, 0.57, 0.59, 0.55, 0.5, 0.72, 0.61, 0.54, 0.63	0.48, 0.71, 0.55, 0.56, 0.56, 0.58, 0.55, 0.5, 0.73, 0.63, 0.54, 0.63	0.66	0.59	24.85	0.5	0.74	2.44	0.89
k13	5	17, 17, 12, 15, 12, 15, 3, 9, 6, 11, 16, 11, 8	0.46	0	0.66, 0.81, 0.81, 0.67, 0.69, 0.74, 0.52, 0.59, 0.55, 0.89, 0.74, 0.66, 0.69	0.5, 0.7, 0.58, 0.57, 0.54, 0.59, 0.49, 0.53, 0.5, 0.71, 0.62, 0.54, 0.63	0.47, 0.71, 0.56, 0.57, 0.53, 0.58, 0.5, 0.54, 0.5, 0.71, 0.63, 0.53, 0.63	0.66	0.59	24.6	0.5	0.75	2.49	0.89
k14	5	17, 20, 11, 14, 12, 15, 3, 11, 6, 1, 9, 15, 10, 8	0.46	0	0.66, 0.81, 0.81, 0.67, 0.69, 0.74, 0.52, 0.65, 0.55, NA, 0.89, 0.71, 0.61, 0.69	0.5, 0.7, 0.58, 0.56, 0.55, 0.59, 0.49, 0.56, 0.5, NaN, 0.73, 0.62, 0.52, 0.63	0.47, 0.71, 0.55, 0.56, 0.54, 0.58, 0.5, 0.56, 0.5, NA, 0.73, 0.63, 0.52, 0.63	0.66	0.59	24.44	0.5	0.73	2.51	0.89
k15	5	17, 20, 4, 16, 10, 15, 3, 12, 7, 6, 9, 8, 10, 8, 7	0.46	0	0.66, 0.81, 0.59, 0.7, 0.58, 0.74, 0.52, 0.65, 0.75, 0.55, 0.89, 0.66, 0.61, 0.69, 0.69	0.5, 0.7, 0.53, 0.58, 0.51, 0.59, 0.49, 0.56, 0.58, 0.5, 0.73, 0.58, 0.52, 0.63, 0.61	0.47, 0.71, 0.52, 0.58, 0.51, 0.58, 0.5, 0.57, 0.54, 0.5, 0.73, 0.58, 0.52, 0.63, 0.62	0.66	0.58	24.08	0.5	0.73	2.6	0.88
k16	5	8, 11, 11, 16, 10, 15, 3, 12, 6, 9, 9, 7, 9, 10, 8, 8	0.43	0	0.64, 0.79, 0.81, 0.7, 0.58, 0.74, 0.52, 0.65, 0.55, 0.66, 0.89, 0.66, 0.79, 0.61, 0.69, 0.69	0.48, 0.7, 0.58, 0.58, 0.51, 0.59, 0.49, 0.56, 0.5, 0.5, 0.73, 0.57, 0.67, 0.52, 0.63, 0.6	0.46, 0.7, 0.55, 0.58, 0.51, 0.58, 0.5, 0.57, 0.5, 0.48, 0.73, 0.56, 0.67, 0.52, 0.63, 0.6	0.66	0.58	23.71	0.46	0.69	2.72	0.88
k17	5	8, 11, 9, 16, 10, 15, 4, 6, 10, 6, 8, 9, 8, 7, 10, 7, 8	0.43	0	0.64, 0.79, 0.81, 0.75, 0.58, 0.74, 0.53, 0.65, 0.82, 0.55, 0.59, 0.66, 0.89, 0.64, 0.61, 0.69, 0.69	0.48, 0.67, 0.59, 0.6, 0.51, 0.59, 0.5, 0.58, 0.7, 0.5, 0.54, 0.5, 0.73, 0.57, 0.52, 0.63, 0.6	0.46, 0.67, 0.56, 0.59, 0.51, 0.58, 0.51, 0.58, 0.71, 0.5, 0.55, 0.48, 0.73, 0.57, 0.52, 0.65, 0.6	0.66	0.58	23.51	0.46	0.69	2.78	0.88
k18	5	8, 11, 4, 9, 10, 18, 4, 6, 5, 6, 8, 14, 10, 8, 6, 9, 8, 8	0.43	0	0.64, 0.79, 0.59, 0.75, 0.58, 0.87, 0.53, 0.65, 0.73, 0.55, 0.59, 0.83, 0.66, 0.89, 0.6, 0.61, 0.69, 0.69	0.48, 0.67, 0.53, 0.62, 0.51, 0.63, 0.5, 0.58, 0.6, 0.5, 0.54, 0.65, 0.52, 0.73, 0.55, 0.52, 0.63, 0.6	0.46, 0.67, 0.52, 0.62, 0.51, 0.64, 0.51, 0.58, 0.56, 0.5, 0.55, 0.64, 0.53, 0.73, 0.55, 0.52, 0.63, 0.6	0.66	0.59	23.76	0.46	0.7	2.82	0.89
k19	5	9, 8, 4, 9, 10, 18, 4, 6, 9, 7, 6, 7, 9, 8, 9, 5, 8, 8, 8	0.43	0	0.68, 0.77, 0.59, 0.75, 0.58, 0.87, 0.53, 0.65, 0.73, 0.61, 0.56, 0.58, 0.66, 0.89, 0.82, 0.65, 0.55, 0.69, 0.69	0.5, 0.68, 0.53, 0.62, 0.51, 0.63, 0.5, 0.58, 0.62, 0.52, 0.52, 0.54, 0.5, 0.73, 0.67, 0.59, 0.5, 0.63, 0.6	0.47, 0.69, 0.52, 0.62, 0.51, 0.64, 0.51, 0.58, 0.62, 0.51, 0.51, 0.55, 0.48, 0.73, 0.68, 0.6, 0.5, 0.63, 0.6	0.66	0.58	23.39	0.46	0.7	2.89	0.88
k20	5	9, 8, 4, 9, 10, 10, 4, 6, 9, 8, 7, 6, 7, 11, 8, 9, 5, 6, 8, 8	0.43	0	0.68, 0.77, 0.59, 0.75, 0.58, 0.7, 0.53, 0.65, 0.73, 0.74, 0.61, 0.56, 0.58, 0.68, 0.89, 0.82, 0.65, 0.55, 0.69, 0.69	0.5, 0.68, 0.53, 0.62, 0.51, 0.53, 0.5, 0.58, 0.61, 0.63, 0.52, 0.52, 0.54, 0.54, 0.73, 0.67, 0.59, 0.5, 0.63, 0.6	0.47, 0.69, 0.52, 0.62, 0.51, 0.54, 0.51, 0.58, 0.61, 0.66, 0.51, 0.51, 0.55, 0.54, 0.73, 0.68, 0.6, 0.5, 0.63, 0.6	0.66	0.58	22.85	0.46	0.72	2.96	0.88
